Key,time,HashRate-Doge,VtyDayRet180d-Doge,VtyDayRet30d-Doge,principal_market_price_usd-Doge,principal_market_usd-Doge
1000001,2022/10/01,493.2469107,0.054204679,0.032815991,0.06169,coinbase-doge-usd-spot
1000002,2022/10/02,488.6194884,0.053059401,0.033026114,0.0606,ftx-doge-usd-spot
1000003,2022/10/03,490.9008544,0.051487384,0.033079594,0.05926,coinbase-doge-usd-spot
1000004,2022/10/04,476.5472617,0.051942977,0.036966071,0.06032,coinbase-doge-usd-spot
1000005,2022/10/05,486.530826,0.051929014,0.037188248,0.06586,coinbase-doge-usd-spot
1000006,2022/10/06,498.303527,0.051920118,0.035568948,0.06478,coinbase-doge-usd-spot
1000007,2022/10/07,478.1362854,0.051823335,0.035174553,0.06345,coinbase-doge-usd-spot
1000008,2022/10/08,510.2726255,0.051256776,0.035237767,0.062367,ftx-doge-usd-spot
1000009,2022/10/09,479.7924605,0.051220164,0.034149004,0.06165,coinbase-doge-usd-spot
1000010,2022/10/10,465.1722606,0.051269566,0.034747336,0.06211,coinbase-doge-usd-spot
1000011,2022/10/11,488.1022647,0.051222349,0.034663986,0.0594,coinbase-doge-usd-spot
1000012,2022/10/12,480.7188741,0.051203405,0.034650672,0.06024,coinbase-doge-usd-spot
1000013,2022/10/13,468.3603807,0.051198505,0.032270293,0.05981,ftx-doge-usd-spot
1000014,2022/10/14,470.9498442,0.051167963,0.032050979,0.05967,coinbase-doge-usd-spot
1000015,2022/10/15,465.217113,0.051164943,0.031241207,0.05867,coinbase-doge-usd-spot
1000016,2022/10/16,495.0241887,0.051142145,0.030860113,0.0586,coinbase-doge-usd-spot
1000017,2022/10/17,482.5933349,0.051165015,0.03052849,0.05891,coinbase-doge-usd-spot
1000018,2022/10/18,488.8998128,0.051118443,0.026905751,0.06,coinbase-doge-usd-spot
1000019,2022/10/19,479.1457974,0.051128607,0.026928521,0.05975,coinbase-doge-usd-spot
1000020,2022/10/20,487.1311236,0.051139297,0.027012283,0.05869,coinbase-doge-usd-spot
1000021,2022/10/21,487.0763607,0.051130946,0.026720781,0.05943,coinbase-doge-usd-spot
1000022,2022/10/22,449.6018651,0.049356729,0.025665682,0.05933,coinbase-doge-usd-spot
1000023,2022/10/23,497.7855839,0.048464705,0.022882877,0.05971,coinbase-doge-usd-spot
1000024,2022/10/24,506.1992651,0.048454664,0.023004776,0.06036,coinbase-doge-usd-spot
1000025,2022/10/25,499.7432999,0.048648211,0.024403544,0.059465,ftx-doge-usd-spot
1000026,2022/10/26,509.9693826,0.049872541,0.035691542,0.06305,coinbase-doge-usd-spot
1000027,2022/10/27,487.6280031,0.049937102,0.03711735,0.07276,coinbase-doge-usd-spot
1000028,2022/10/28,507.9979444,0.05029955,0.040021981,0.07688,coinbase-doge-usd-spot
1000029,2022/10/29,482.9721023,0.056642397,0.073177654,0.08387,coinbase-doge-usd-spot
1000030,2022/10/30,495.6932991,0.056656359,0.073621076,0.12185,coinbase-doge-usd-spot
1000031,2022/10/31,489.5412328,0.056851536,0.0739481,0.11779,coinbase-doge-usd-spot
1000032,2022/11/01,524.337654,0.057383778,0.075268721,0.12685,coinbase-doge-usd-spot
1000033,2022/11/02,517.243169,0.057951415,0.079329433,0.14219,coinbase-doge-usd-spot
1000034,2022/11/03,503.8504124,0.058045062,0.079350068,0.1276,coinbase-doge-usd-spot
1000035,2022/11/04,529.6538056,0.05805976,0.078959773,0.12261,coinbase-doge-usd-spot
1000036,2022/11/05,522.3406867,0.056795227,0.078889683,0.12616,coinbase-doge-usd-spot
1000037,2022/11/06,541.7915257,0.057107646,0.080909689,0.12448,coinbase-doge-usd-spot
1000038,2022/11/07,533.6245043,0.053885111,0.081303228,0.11479,coinbase-doge-usd-spot
1000039,2022/11/08,560.7959984,0.056580505,0.093270526,0.11128,coinbase-doge-usd-spot
1000040,2022/11/09,541.4764485,0.057889346,0.099040896,0.08835,coinbase-doge-usd-spot
1000041,2022/11/10,554.3505369,0.059670698,0.104751277,0.07446,coinbase-doge-usd-spot
1000042,2022/11/11,523.128325,0.059793167,0.10554978,0.08959,coinbase-doge-usd-spot
1000043,2022/11/12,542.5149831,0.059760339,0.105677317,0.08488,coinbase-doge-usd-spot
1000044,2022/11/13,559.7761111,0.059802464,0.106027678,0.08806,coinbase-doge-usd-spot
1000045,2022/11/14,538.0558189,0.059560028,0.106013479,0.08483,coinbase-doge-usd-spot
1000046,2022/11/15,567.5210658,0.059509513,0.106007619,0.0858,coinbase-doge-usd-spot
1000047,2022/11/16,564.6246881,0.059475208,0.106125241,0.08695,coinbase-doge-usd-spot
1000048,2022/11/17,543.8991039,0.059480555,0.106179394,0.08543,coinbase-doge-usd-spot
1000049,2022/11/18,542.4613607,0.059462454,0.10604671,0.08457,coinbase-doge-usd-spot
1000050,2022/11/19,534.4968699,0.05940796,0.106070641,0.08462,coinbase-doge-usd-spot
1000051,2022/11/20,547.5261146,0.059795379,0.107708795,0.0844,coinbase-doge-usd-spot
1000052,2022/11/21,557.9136392,0.059839804,0.107963074,0.07692,coinbase-doge-usd-spot
1000053,2022/11/22,545.1973797,0.059804552,0.108232387,0.07458,coinbase-doge-usd-spot
1000054,2022/11/23,578.0879435,0.059826986,0.108306338,0.07866,coinbase-doge-usd-spot
1000055,2022/11/24,531.1789016,0.059826158,0.108017489,0.08187,coinbase-doge-usd-spot
1000056,2022/11/25,529.1239935,0.060235137,0.106257741,0.08138,coinbase-doge-usd-spot
1000057,2022/11/26,508.5607267,0.060061813,0.10574364,0.08947,coinbase-doge-usd-spot
1000058,2022/11/27,537.5650542,0.060635558,0.106474788,0.08887,coinbase-doge-usd-spot
1000059,2022/11/28,552.4280054,0.060571378,0.085025319,0.09861,coinbase-doge-usd-spot
1000060,2022/11/29,527.342896,0.060767684,0.086126615,0.09506,coinbase-doge-usd-spot
1000061,2022/11/30,541.8852383,0.060836476,0.085375301,0.10142,coinbase-doge-usd-spot
1000062,2022/12/01,569.6661494,0.060979909,0.082575265,0.10676,coinbase-doge-usd-spot
1000063,2022/12/02,575.7181634,0.060979197,0.080567161,0.10171,coinbase-doge-usd-spot
1000064,2022/12/03,564.2892079,0.060995288,0.080309656,0.10213,coinbase-doge-usd-spot
1000065,2022/12/04,550.1844346,0.061050645,0.080549012,0.09969,coinbase-doge-usd-spot
1000066,2022/12/05,549.9267303,0.061083752,0.080642071,0.1041,coinbase-doge-usd-spot
1000067,2022/12/06,609.575537,0.061090602,0.079364937,0.10149,coinbase-doge-usd-spot
1000068,2022/12/07,570.6183439,0.061061577,0.079523931,0.1002,coinbase-doge-usd-spot
1000069,2022/12/08,562.4618746,0.060813546,0.067276627,0.09575,coinbase-doge-usd-spot
1000070,2022/12/09,571.4898431,0.060531163,0.05822046,0.0985,coinbase-doge-usd-spot
1000071,2022/12/10,568.1724682,0.058871343,0.046622053,0.0967,coinbase-doge-usd-spot
1000072,2022/12/11,578.1863268,0.058924367,0.045807554,0.09629,coinbase-doge-usd-spot
1000073,2022/12/12,562.0658368,0.058370371,0.045467467,0.0927,coinbase-doge-usd-spot
1000074,2022/12/13,594.5524473,0.057642009,0.04474014,0.09029,coinbase-doge-usd-spot
1000075,2022/12/14,597.7693152,0.057615942,0.044972153,0.09103,coinbase-doge-usd-spot
1000076,2022/12/15,587.4476175,0.057438169,0.04571451,0.08825,coinbase-doge-usd-spot
1000077,2022/12/16,568.6133796,0.057326582,0.050071347,0.08486,coinbase-doge-usd-spot
1000078,2022/12/17,593.9336404,0.057431355,0.050937787,0.07579,coinbase-doge-usd-spot
1000079,2022/12/18,588.579803,0.057057917,0.050937566,0.07923,coinbase-doge-usd-spot
1000080,2022/12/19,586.3628336,0.05737911,0.054036817,0.07845,coinbase-doge-usd-spot
1000081,2022/12/20,603.5970968,0.057424959,0.052417953,0.07136,coinbase-doge-usd-spot
1000082,2022/12/21,586.0423636,0.057330348,0.052211193,0.07484,coinbase-doge-usd-spot
1000083,2022/12/22,591.7558369,0.057424062,0.052142794,0.07371,coinbase-doge-usd-spot
1000084,2022/12/23,562.4518952,0.057179847,0.051512382,0.07685,coinbase-doge-usd-spot
1000085,2022/12/24,565.1235324,0.057167493,0.051535403,0.0772,coinbase-doge-usd-spot
1000086,2022/12/25,618.360727,0.056763463,0.04835419,0.07749,coinbase-doge-usd-spot
1000087,2022/12/26,612.2154234,0.056637735,0.048354126,0.07595,coinbase-doge-usd-spot
1000088,2022/12/27,573.2740458,0.056437446,0.042873237,0.07566,coinbase-doge-usd-spot
1000089,2022/12/28,579.2107755,0.056517354,0.042838524,0.07365,coinbase-doge-usd-spot
1000090,2022/12/29,580.8026553,0.056520027,0.040316135,0.07036,coinbase-doge-usd-spot
1000091,2022/12/30,626.0497388,0.056589696,0.038664914,0.07088,coinbase-doge-usd-spot
1000092,2022/12/31,608.4116963,0.056568665,0.038593626,0.06837,coinbase-doge-usd-spot
1000093,2023/01/01,567.6326161,0.056515441,0.038507503,0.07019,coinbase-doge-usd-spot
1000094,2023/01/02,581.4451274,0.056509736,0.038916661,0.0702,coinbase-doge-usd-spot
1000095,2023/01/03,589.1438475,0.056481759,0.037528786,0.07135,coinbase-doge-usd-spot
1000096,2023/01/04,563.8712953,0.056530159,0.038394681,0.07047,coinbase-doge-usd-spot
1000097,2023/01/05,562.2981756,0.056548226,0.038423316,0.07307,coinbase-doge-usd-spot
1000098,2023/01/06,582.0194476,0.056503112,0.038153526,0.0715,coinbase-doge-usd-spot
1000099,2023/01/07,570.3402487,0.056126726,0.037476869,0.07241,coinbase-doge-usd-spot
1000100,2023/01/08,576.939382,0.056105847,0.037762863,0.07218,coinbase-doge-usd-spot
1000101,2023/01/09,612.0247726,0.056111006,0.038418719,0.07358,coinbase-doge-usd-spot
1000102,2023/01/10,588.1113827,0.056134899,0.038417821,0.07563,coinbase-doge-usd-spot
1000103,2023/01/11,592.7867282,0.056131608,0.038239261,0.07783,coinbase-doge-usd-spot
1000104,2023/01/12,572.0275022,0.056154882,0.038666259,0.07812,coinbase-doge-usd-spot
1000105,2023/01/13,600.0182673,0.056264163,0.039621455,0.08026,coinbase-doge-usd-spot
1000106,2023/01/14,619.3460761,0.056155602,0.03929516,0.08453,coinbase-doge-usd-spot
1000107,2023/01/15,608.5214664,0.056141522,0.03301873,0.08729,coinbase-doge-usd-spot
1000108,2023/01/16,638.2561718,0.056175583,0.032534373,0.08609,coinbase-doge-usd-spot
1000109,2023/01/17,619.0256759,0.056177195,0.032554695,0.08369,coinbase-doge-usd-spot
1000110,2023/01/18,638.0268509,0.056163856,0.027030878,0.08283,coinbase-doge-usd-spot
1000111,2023/01/19,666.2069543,0.056168625,0.025742607,0.07996,coinbase-doge-usd-spot
1000112,2023/01/20,652.5875132,0.056326015,0.027261016,0.0816,coinbase-doge-usd-spot
1000113,2023/01/21,649.8877861,0.056068006,0.026359351,0.08619,coinbase-doge-usd-spot
1000114,2023/01/22,646.5458269,0.056121787,0.02706369,0.08467,coinbase-doge-usd-spot
1000115,2023/01/23,671.9114956,0.055897402,0.027059518,0.08823,coinbase-doge-usd-spot
1000116,2023/01/24,654.5689498,0.055996161,0.028645359,0.08852,coinbase-doge-usd-spot
1000117,2023/01/25,677.5448709,0.056035948,0.029002401,0.08388,coinbase-doge-usd-spot
1000118,2023/01/26,676.3498631,0.05603631,0.02852831,0.08655,coinbase-doge-usd-spot
1000119,2023/01/27,661.9154799,0.056023815,0.026821071,0.08636,coinbase-doge-usd-spot
1000120,2023/01/28,663.6422525,0.056023949,0.026820115,0.08726,coinbase-doge-usd-spot
1000121,2023/01/29,679.1983104,0.056027515,0.02572147,0.08777,coinbase-doge-usd-spot
1000122,2023/01/30,672.5791955,0.056054098,0.026254133,0.09008,coinbase-doge-usd-spot
1000123,2023/01/31,654.4032425,0.056393027,0.02985031,0.08833,coinbase-doge-usd-spot
1000124,2023/02/01,649.9595397,0.056357737,0.030196604,0.09611,coinbase-doge-usd-spot
1000125,2023/02/02,652.381182,0.056405631,0.030891287,0.09404,coinbase-doge-usd-spot
1000126,2023/02/03,690.7090244,0.056423657,0.030587294,0.09102,coinbase-doge-usd-spot
1000127,2023/02/04,686.0704135,0.056460565,0.030472352,0.09293,coinbase-doge-usd-spot
1000128,2023/02/05,683.6863014,0.056544573,0.031909282,0.09565,coinbase-doge-usd-spot
1000129,2023/02/06,680.3750022,0.056558131,0.032604502,0.09201,coinbase-doge-usd-spot
1000130,2023/02/07,681.5920084,0.056612668,0.03296158,0.0896,coinbase-doge-usd-spot
1000131,2023/02/08,703.8450957,0.05663034,0.033264231,0.09256,coinbase-doge-usd-spot
1000132,2023/02/09,701.9523548,0.057147417,0.038421041,0.09018,coinbase-doge-usd-spot
1000133,2023/02/10,662.3917277,0.056499323,0.03843752,0.08144,coinbase-doge-usd-spot
1000134,2023/02/11,711.4620306,0.056287787,0.038181736,0.0809,coinbase-doge-usd-spot
1000135,2023/02/12,728.1178995,0.055467427,0.037022209,0.08227,coinbase-doge-usd-spot
1000136,2023/02/13,684.9606326,0.055139212,0.03639437,0.08218,coinbase-doge-usd-spot
1000137,2023/02/14,697.64487,0.054927254,0.036483708,0.08213,coinbase-doge-usd-spot
1000138,2023/02/15,706.5358964,0.054618155,0.037957117,0.08361,coinbase-doge-usd-spot
1000139,2023/02/16,670.5086365,0.054714776,0.03895654,0.08927,coinbase-doge-usd-spot
1000140,2023/02/17,647.1757476,0.054757959,0.038783625,0.0849,coinbase-doge-usd-spot
1000141,2023/02/18,658.5945775,0.054745521,0.03879093,0.08775,coinbase-doge-usd-spot
1000142,2023/02/19,683.5923613,0.054770695,0.037622433,0.08886,coinbase-doge-usd-spot
1000143,2023/02/20,697.1215755,0.054765173,0.037538892,0.08704,coinbase-doge-usd-spot
1000144,2023/02/21,703.2447814,0.05480979,0.037367896,0.0883,coinbase-doge-usd-spot
1000145,2023/02/22,692.1507412,0.054425403,0.037356908,0.08545,coinbase-doge-usd-spot
1000146,2023/02/23,678.3507659,0.054439987,0.036138389,0.08549,coinbase-doge-usd-spot
1000147,2023/02/24,746.8666255,0.054494725,0.036381123,0.08422,coinbase-doge-usd-spot
1000148,2023/02/25,693.5481143,0.054461914,0.036380466,0.08092,coinbase-doge-usd-spot
1000149,2023/02/26,696.7820682,0.054411111,0.036513897,0.08076,coinbase-doge-usd-spot
1000150,2023/02/27,695.2073709,0.054414262,0.036515771,0.08218,coinbase-doge-usd-spot
1000151,2023/02/28,705.4167645,0.054404443,0.036035854,0.08135,coinbase-doge-usd-spot
1000152,2023/03/01,707.0764566,0.054403595,0.035932156,0.08086,coinbase-doge-usd-spot
1000153,2023/03/02,677.8722096,0.054409221,0.031883493,0.08192,coinbase-doge-usd-spot
1000154,2023/03/03,702.4516548,0.05452478,0.032697766,0.08054,coinbase-doge-usd-spot
1000155,2023/03/04,702.8847804,0.054576935,0.032647889,0.07685,coinbase-doge-usd-spot
1000156,2023/03/05,715.9805704,0.054385435,0.032301513,0.07467,coinbase-doge-usd-spot
1000157,2023/03/06,693.4742239,0.054324514,0.031443103,0.07477,coinbase-doge-usd-spot
1000158,2023/03/07,690.6494313,0.054332812,0.030800881,0.07478,coinbase-doge-usd-spot
1000159,2023/03/08,686.0088149,0.054295663,0.030990262,0.07407,coinbase-doge-usd-spot
1000160,2023/03/09,709.0358672,0.054603068,0.032502241,0.07113,coinbase-doge-usd-spot
1000161,2023/03/10,703.3599755,0.054582281,0.032469956,0.066,coinbase-doge-usd-spot
1000162,2023/03/11,713.3443731,0.054583528,0.027605209,0.06598,coinbase-doge-usd-spot
1000163,2023/03/12,699.7636058,0.054544988,0.030533863,0.06659,coinbase-doge-usd-spot
1000164,2023/03/13,710.8379448,0.054555172,0.030924333,0.07101,coinbase-doge-usd-spot
1000165,2023/03/14,736.3501912,0.054499175,0.031361398,0.0731,coinbase-doge-usd-spot
1000166,2023/03/15,684.0008731,0.054719739,0.033590919,0.07481,coinbase-doge-usd-spot
1000167,2023/03/16,706.9868311,0.054746945,0.034258251,0.06994,coinbase-doge-usd-spot
1000168,2023/03/17,700.5556359,0.054582026,0.033684325,0.07269,coinbase-doge-usd-spot
1000169,2023/03/18,732.6204458,0.054676595,0.033640541,0.07658,coinbase-doge-usd-spot
1000170,2023/03/19,728.3088067,0.054707857,0.033519821,0.07312,coinbase-doge-usd-spot
1000171,2023/03/20,686.4239102,0.054810543,0.034211152,0.07473,coinbase-doge-usd-spot
1000172,2023/03/21,742.7378488,0.054969359,0.036844956,0.07163,coinbase-doge-usd-spot
1000173,2023/03/22,660.1566997,0.054849808,0.037196464,0.07683,coinbase-doge-usd-spot
1000174,2023/03/23,682.3823774,0.054950344,0.038011555,0.07407,coinbase-doge-usd-spot
1000175,2023/03/24,703.1867698,0.054961914,0.0385037,0.07748,coinbase-doge-usd-spot
1000176,2023/03/25,703.8785903,0.054966517,0.038459307,0.07466,coinbase-doge-usd-spot
1000177,2023/03/26,723.939768,0.054965281,0.037919468,0.07412,coinbase-doge-usd-spot
1000178,2023/03/27,730.0642285,0.054996004,0.038108953,0.07442,coinbase-doge-usd-spot
1000179,2023/03/28,666.7809068,0.055005031,0.038036939,0.0729,coinbase-doge-usd-spot
1000180,2023/03/29,742.8530567,0.055020859,0.038376961,0.07385,coinbase-doge-usd-spot
1000181,2023/03/30,683.7146912,0.055025868,0.038522886,0.07558,coinbase-doge-usd-spot
1000182,2023/03/31,704.0109431,0.055073373,0.039230244,0.07422,coinbase-doge-usd-spot
1000183,2023/04/01,690.7361758,0.055224016,0.040651051,0.07698,coinbase-doge-usd-spot
1000184,2023/04/02,689.290386,0.054902905,0.040275457,0.08186,coinbase-doge-usd-spot
1000185,2023/04/03,668.5744644,0.056667935,0.05263915,0.07906,coinbase-doge-usd-spot
1000186,2023/04/04,685.3542558,0.056651925,0.052712441,0.09608,coinbase-doge-usd-spot
1000187,2023/04/05,708.9311925,0.056656185,0.052941959,0.09516,coinbase-doge-usd-spot
1000188,2023/04/06,701.6711112,0.057028136,0.055529509,0.09271,coinbase-doge-usd-spot
1000189,2023/04/07,727.1041472,0.057096621,0.055510763,0.08546,coinbase-doge-usd-spot
1000190,2023/04/08,724.4800859,0.057018207,0.053351886,0.08232,coinbase-doge-usd-spot
1000191,2023/04/09,755.8684935,0.057036857,0.053422048,0.08141,coinbase-doge-usd-spot
