Key,time,HashRate-BTC,VelCur1yr-BTC,VtyDayRet180d-BTC,VtyDayRet30d-BTC,principal_market_price_usd-BTC,principal_market_usd-BTC,Key,time,HashRate-Doge,VtyDayRet180d-Doge,VtyDayRet30d-Doge,principal_market_price_usd-Doge,principal_market_usd-Doge,Key,time,principal_market_price_usd-RVN,principal_market_usd-RVN
1000001,2022-10-01,282168375.3,29.21479537,0.035875957,0.033666588,19418.0,ftx-btc-usd-spot,1000001,2022-10-01,493.2469107,0.054204679,0.032815991,0.06169,coinbase-doge-usd-spot,1000001,2022-10-01,0.035484,binance-rvn-usdt-spot
1000002,2022-10-02,244753785.4,29.21513971,0.035864455,0.033746307,19315.27,coinbase-btc-usd-spot,1000002,2022-10-02,488.6194884,0.053059401,0.033026114,0.0606,ftx-doge-usd-spot,1000002,2022-10-02,0.035944,binance-rvn-usdt-spot
1000003,2022-10-03,240076960.0,29.25289429,0.035781464,0.034275662,19059.17,coinbase-btc-usd-spot,1000003,2022-10-03,490.9008544,0.051487384,0.033079594,0.05926,coinbase-doge-usd-spot,1000003,2022-10-03,0.03434,binance-rvn-usdt-spot
1000004,2022-10-04,254107431.8,29.2983003,0.035895684,0.034862918,19631.0,ftx-btc-usd-spot,1000004,2022-10-04,476.5472617,0.051942977,0.036966071,0.06032,coinbase-doge-usd-spot,1000004,2022-10-04,0.035434,binance-rvn-usdt-spot
1000005,2022-10-05,272814728.9,29.31754907,0.03583984,0.034870971,20345.19,coinbase-btc-usd-spot,1000005,2022-10-05,486.530826,0.051929014,0.037188248,0.06586,coinbase-doge-usd-spot,1000005,2022-10-05,0.035677,binance-rvn-usdt-spot
1000006,2022-10-06,247871668.3,29.28742705,0.035825192,0.033653113,20161.62,coinbase-btc-usd-spot,1000006,2022-10-06,498.303527,0.051920118,0.035568948,0.06478,coinbase-doge-usd-spot,1000006,2022-10-06,0.034637,binance-rvn-usdt-spot
1000007,2022-10-07,266578963.2,29.29397787,0.035844221,0.033646965,19965.64,coinbase-btc-usd-spot,1000007,2022-10-07,478.1362854,0.051823335,0.035174553,0.06345,coinbase-doge-usd-spot,1000007,2022-10-07,0.036164,binance-rvn-usdt-spot
1000008,2022-10-08,272814728.9,29.29527388,0.03553974,0.033668755,19533.05,coinbase-btc-usd-spot,1000008,2022-10-08,510.2726255,0.051256776,0.035237767,0.062367,ftx-doge-usd-spot,1000008,2022-10-08,0.036084,binance-rvn-usdt-spot
1000009,2022-10-09,246312725.8,29.32656448,0.035516338,0.027829337,19419.39,coinbase-btc-usd-spot,1000009,2022-10-09,479.7924605,0.051220164,0.034149004,0.06165,coinbase-doge-usd-spot,1000009,2022-10-09,0.035243,binance-rvn-usdt-spot
1000010,2022-10-10,282818946.7,29.38355316,0.035452792,0.027648723,19443.47,coinbase-btc-usd-spot,1000010,2022-10-10,465.1722606,0.051269566,0.034747336,0.06211,coinbase-doge-usd-spot,1000010,2022-10-10,0.035784,binance-rvn-usdt-spot
1000011,2022-10-11,277924882.8,29.42126057,0.035398436,0.027634421,19132.83,coinbase-btc-usd-spot,1000011,2022-10-11,488.1022647,0.051222349,0.034663986,0.0594,coinbase-doge-usd-spot,1000011,2022-10-11,0.033591,binance-rvn-usdt-spot
1000012,2022-10-12,242520438.9,29.46672252,0.035377328,0.027004087,19058.11,coinbase-btc-usd-spot,1000012,2022-10-12,480.7188741,0.051203405,0.034650672,0.06024,coinbase-doge-usd-spot,1000012,2022-10-12,0.032485,binance-rvn-usdt-spot
1000013,2022-10-13,253141772.8,29.52948913,0.035397501,0.019756363,19155.92,coinbase-btc-usd-spot,1000013,2022-10-13,468.3603807,0.051198505,0.032270293,0.05981,ftx-doge-usd-spot,1000013,2022-10-13,0.03251,binance-rvn-usdt-spot
