Key,time,HashRate-BTC,VelCur1yr-BTC,VtyDayRet180d-BTC,VtyDayRet30d-BTC,principal_market_price_usd-BTC,principal_market_usd-BTC
1000001,2022/10/01,282168375.3,29.21479537,0.035875957,0.033666588,19418,ftx-btc-usd-spot
1000002,2022/10/02,244753785.4,29.21513971,0.035864455,0.033746307,19315.27,coinbase-btc-usd-spot
1000003,2022/10/03,240076960,29.25289429,0.035781464,0.034275662,19059.17,coinbase-btc-usd-spot
1000004,2022/10/04,254107431.8,29.2983003,0.035895684,0.034862918,19631,ftx-btc-usd-spot
1000005,2022/10/05,272814728.9,29.31754907,0.03583984,0.034870971,20345.19,coinbase-btc-usd-spot
1000006,2022/10/06,247871668.3,29.28742705,0.035825192,0.033653113,20161.62,coinbase-btc-usd-spot
1000007,2022/10/07,266578963.2,29.29397787,0.035844221,0.033646965,19965.64,coinbase-btc-usd-spot
1000008,2022/10/08,272814728.9,29.29527388,0.03553974,0.033668755,19533.05,coinbase-btc-usd-spot
1000009,2022/10/09,246312725.8,29.32656448,0.035516338,0.027829337,19419.39,coinbase-btc-usd-spot
1000010,2022/10/10,282818946.7,29.38355316,0.035452792,0.027648723,19443.47,coinbase-btc-usd-spot
1000011,2022/10/11,277924882.8,29.42126057,0.035398436,0.027634421,19132.83,coinbase-btc-usd-spot
1000012,2022/10/12,242520438.9,29.46672252,0.035377328,0.027004087,19058.11,coinbase-btc-usd-spot
1000013,2022/10/13,253141772.8,29.52948913,0.035397501,0.019756363,19155.92,coinbase-btc-usd-spot
1000014,2022/10/14,276154659.2,29.55403827,0.035385107,0.019805208,19378.65,coinbase-btc-usd-spot
1000015,2022/10/15,269073772.4,29.52243359,0.035305326,0.019220103,19178,coinbase-btc-usd-spot
1000016,2022/10/16,254911993.9,29.51104534,0.035288007,0.019318339,19070.24,coinbase-btc-usd-spot
1000017,2022/10/17,265533327.8,29.52614833,0.035317571,0.019195553,19264.44,coinbase-btc-usd-spot
1000018,2022/10/18,251371549.2,29.53809836,0.03529346,0.018198284,19550.4,coinbase-btc-usd-spot
1000019,2022/10/19,267303548.8,29.56268599,0.035281902,0.018252912,19328.76,coinbase-btc-usd-spot
1000020,2022/10/20,256682214.9,29.57512275,0.035281998,0.017050915,19124.18,coinbase-btc-usd-spot
1000021,2022/10/21,276154659.2,29.59131416,0.035291973,0.01667405,19042.48,coinbase-btc-usd-spot
1000022,2022/10/22,240750215.3,29.59431154,0.035231911,0.01415508,19166.45,coinbase-btc-usd-spot
1000023,2022/10/23,274810664.8,29.59994604,0.035011206,0.014538372,19218,ftx.us-btc-usd-spot
1000024,2022/10/24,249031191.6,29.61950696,0.034926498,0.014153433,19572.44,coinbase-btc-usd-spot
1000025,2022/10/25,223395628.2,29.63575626,0.035044045,0.01563316,19330.41,coinbase-btc-usd-spot
1000026,2022/10/26,283822315.6,29.661114,0.035107193,0.016339704,20086.28,coinbase-btc-usd-spot
1000027,2022/10/27,247200081,29.67917117,0.035112846,0.017065516,20774.51,binance.us-btc-usd-spot
