Key,time,principal_market_price_usd-RVN,principal_market_usd-RVN
1000001,2022/10/01,0.035484,binance-rvn-usdt-spot
1000002,2022/10/02,0.035944,binance-rvn-usdt-spot
1000003,2022/10/03,0.03434,binance-rvn-usdt-spot
1000004,2022/10/04,0.035434,binance-rvn-usdt-spot
1000005,2022/10/05,0.035677,binance-rvn-usdt-spot
1000006,2022/10/06,0.034637,binance-rvn-usdt-spot
1000007,2022/10/07,0.036164,binance-rvn-usdt-spot
1000008,2022/10/08,0.036084,binance-rvn-usdt-spot
1000009,2022/10/09,0.035243,binance-rvn-usdt-spot
1000010,2022/10/10,0.035784,binance-rvn-usdt-spot
1000011,2022/10/11,0.033591,binance-rvn-usdt-spot
1000012,2022/10/12,0.032485,binance-rvn-usdt-spot
1000013,2022/10/13,0.03251,binance-rvn-usdt-spot
1000014,2022/10/14,0.031122,binance-rvn-usdt-spot
1000015,2022/10/15,0.030681,binance-rvn-usdt-spot
1000016,2022/10/16,0.030201,binance-rvn-usdt-spot
1000017,2022/10/17,0.030931,binance-rvn-usdt-spot
1000018,2022/10/18,0.031441,binance-rvn-usdt-spot
1000019,2022/10/19,0.032872,binance-rvn-usdt-spot
1000020,2022/10/20,0.030102,binance-rvn-usdt-spot
1000021,2022/10/21,0.031867,binance-rvn-usdt-spot
1000022,2022/10/22,0.03123,binance-rvn-usdt-spot
1000023,2022/10/23,0.03166,binance-rvn-usdt-spot
1000024,2022/10/24,0.031713,binance-rvn-usdt-spot
1000025,2022/10/25,0.030487,binance-rvn-usdt-spot
1000026,2022/10/26,0.030708289,binance-rvn-usdt-spot
1000027,2022/10/27,0.03124656,binance-rvn-usdt-spot
1000028,2022/10/28,0.03085216,binance-rvn-usdt-spot
1000029,2022/10/29,0.031346268,binance-rvn-usdt-spot
1000030,2022/10/30,0.032029286,binance-rvn-usdt-spot
1000031,2022/10/31,0.03195607,binance-rvn-usdt-spot
1000032,2022/11/01,0.031418429,binance-rvn-usdt-spot
1000033,2022/11/02,0.031206255,binance-rvn-usdt-spot
1000034,2022/11/03,0.02945,binance-rvn-usdt-spot
1000035,2022/11/04,0.030236976,binance-rvn-usdt-spot
1000036,2022/11/05,0.03210321,binance-rvn-usdt-spot
1000037,2022/11/06,0.031940639,binance-rvn-usdt-spot
1000038,2022/11/07,0.03015603,binance-rvn-usdt-spot
1000039,2022/11/08,0.029962996,binance-rvn-usdt-spot
1000040,2022/11/09,0.0253308,binance-rvn-usdt-spot
1000041,2022/11/10,0.01985018,binance-rvn-usdt-spot
1000042,2022/11/11,0.024391872,binance-rvn-usdt-spot
1000043,2022/11/12,0.023291859,binance-rvn-usdt-spot
1000044,2022/11/13,0.021881859,binance-rvn-usdt-spot
1000045,2022/11/14,0.021439942,binance-rvn-usdt-spot
1000046,2022/11/15,0.022251036,binance-rvn-usdt-spot
1000047,2022/11/16,0.022390854,binance-rvn-usdt-spot
1000048,2022/11/17,0.02143854,binance-rvn-usdt-spot
